hackathon_name,project_name,project_link,winner
Auburn Hacks 2024,Resumate,https://devpost.com/software/resumate-bwk81m,TRUE
Auburn Hacks 2024,Courage The Not-so Cowardly Rover,https://devpost.com/software/courage-the-not-so-cowardly-rover,TRUE
Auburn Hacks 2024,Planetarium,https://devpost.com/software/planetarium-nzc1a7,TRUE
Auburn Hacks 2024,Orbital Sandbox,https://devpost.com/software/orbital-sandbox,TRUE
Auburn Hacks 2024,OrbitQuest,https://devpost.com/software/orbitquest,TRUE
Auburn Hacks 2024,Pseduo,https://devpost.com/software/pseduo,TRUE
Auburn Hacks 2024,Auburn Quest,https://devpost.com/software/auburn-quest,TRUE
Auburn Hacks 2024,Starfall,https://devpost.com/software/starfall,FALSE
Auburn Hacks 2024,planet simulation,https://devpost.com/software/planet-simulation,FALSE
Auburn Hacks 2024,Constellation Achievements,https://devpost.com/software/constellation-achievements,FALSE
Auburn Hacks 2024,SpacePal,https://devpost.com/software/spacepal,FALSE
Auburn Hacks 2024,HAL 9000 Desktop Buddy,https://devpost.com/software/hal-9000-desktop-buddy,FALSE
Auburn Hacks 2024,Andromeda,https://devpost.com/software/andromeda-y1pmjk,FALSE
Auburn Hacks 2024,Sound Safari,https://devpost.com/software/sound-safari,FALSE
Auburn Hacks 2024,Demo,https://devpost.com/software/quizzify-q1lvrc,FALSE
Auburn Hacks 2024,Solar Flare Prediction,https://devpost.com/software/solar-flare-prediction,FALSE
Auburn Hacks 2024,Spaceify,https://devpost.com/software/spaceify-gu2p1z,FALSE
Auburn Hacks 2024,Space smarts,https://devpost.com/software/space-smarts,FALSE
Auburn Hacks 2024,OnePress,https://devpost.com/software/onepress,FALSE
Auburn Hacks 2024,Mars Meteo,https://devpost.com/software/mars-meteo,FALSE
Auburn Hacks 2024,AstroPedia,https://devpost.com/software/astropedia,FALSE
Auburn Hacks 2024,Event Horizon,https://devpost.com/software/event-horizon-ce43fz,FALSE
Auburn Hacks 2024,Spaced Out,https://devpost.com/software/spaced-out-38btga,FALSE
Auburn Hacks 2024,AlienAtlas,https://devpost.com/software/alienatlas,FALSE
Auburn Hacks 2024,Nebula Navigators,https://devpost.com/software/nebula-navigators,FALSE
Auburn Hacks 2024,Starbite,https://devpost.com/software/starbite,FALSE
Auburn Hacks 2024,Playlist Planet,https://devpost.com/software/playlist-planet,FALSE
Auburn Hacks 2024,Planet Patrol,https://devpost.com/software/planet-patrol,FALSE
Auburn Hacks 2024,Cosmic Colonies,https://devpost.com/software/cosmic-colonies,FALSE
Auburn Hacks 2024,WeAuburn,https://devpost.com/software/weauburn,FALSE
Auburn Hacks 2024,Marshall's Space Return,https://devpost.com/software/shmore-o-s-space-return,FALSE
HackDearborn 2024,Second Chapter,https://devpost.com/software/second-chapter,TRUE
HackDearborn 2024,SwarmAid,https://devpost.com/software/swarmaid,TRUE
HackDearborn 2024,2NDs,https://devpost.com/software/2nds,TRUE
HackDearborn 2024,Green Gale,https://devpost.com/software/green-gale,TRUE
HackDearborn 2024,SwarmSense: Connected Intelligence for Connected Vehicles,https://devpost.com/software/swarmsense-connected-intelligence-for-connected-vehicles,TRUE
HackDearborn 2024,SaveCircle,https://devpost.com/software/savecircle,TRUE
HackDearborn 2024,DevLingo,https://devpost.com/software/devlingo,TRUE
HackDearborn 2024,Hocus Focus,https://devpost.com/software/hocus-focus-1c9vxr,TRUE
HackDearborn 2024,CrashCam,https://devpost.com/software/crashcam,TRUE
HackDearborn 2024,WattX,https://devpost.com/software/wattx,TRUE
HackDearborn 2024,PayUp,https://devpost.com/software/n-a-rbk57i,TRUE
HackDearborn 2024,Interactive Media Challenge: Deepfake Detection for Images,https://devpost.com/software/interactive-media-challenge-deepfake-detection-for-images,TRUE
HackDearborn 2024,YOFY^T,https://devpost.com/software/yofy-t,FALSE
HackDearborn 2024,IntelliSchedule,https://devpost.com/software/intellischedule-zprjbw,FALSE
HackDearborn 2024,Finance Buddy,https://devpost.com/software/finanace-buddy,FALSE
HackDearborn 2024,CUT THE CARBON,https://devpost.com/software/cut-the-carbon,FALSE
HackDearborn 2024,Tic Tac Toe,https://devpost.com/software/tic-tac-toe-360iye,FALSE
HackDearborn 2024,VeriVote,https://devpost.com/software/homomorphic-zkp-a-crypgrapher-s-wet-dream,FALSE
HackDearborn 2024,lightWEB,https://devpost.com/software/lightweb,FALSE
HackDearborn 2024,Recognition,https://devpost.com/software/recognition,FALSE
HackDearborn 2024,Sigmund's Quest,https://devpost.com/software/sigmund-s-quest,FALSE
HackDearborn 2024,Lucros,https://devpost.com/software/lucros,FALSE
HackDearborn 2024,ProFormAI,https://devpost.com/software/proformai,FALSE
HackDearborn 2024,E'm-pathy,https://devpost.com/software/i-m-pathy,FALSE
HackDearborn 2024,TrunkMonkey,https://devpost.com/software/trunkmonkey,FALSE
HackDearborn 2024,Risky Business,https://devpost.com/software/risky-business,FALSE
HackDearborn 2024,TutorVerse,https://devpost.com/software/teach_llm,FALSE
HackDearborn 2024,Motive,https://devpost.com/software/motive-9axbqy,FALSE
HackDearborn 2024,UMCU,https://devpost.com/software/extrack,FALSE
HackDearborn 2024,RecruitMatic,https://devpost.com/software/recruitmetic,FALSE
HackDearborn 2024,Travel Agent,https://devpost.com/software/travel-agent-vts92n,FALSE
HackDearborn 2024,AI Nutrition Planner,https://devpost.com/software/ai-nutrition-planner,FALSE
HackDearborn 2024,Pick2Plan,https://devpost.com/software/pick2plan,FALSE
HackDearborn 2024,Stock Feedback AI,https://devpost.com/software/stock-broker-1rnik9,FALSE
HackDearborn 2024,Scam Protect,https://devpost.com/software/scam-protect,FALSE
HackDearborn 2024,Doctor Green – Your AI guide to recycling,https://devpost.com/software/ai-buddy-i3z8fj,FALSE
HackDearborn 2024,Talk Tech,https://devpost.com/software/talk-tech,FALSE
HackDearborn 2024,G.U.A.R.D.,https://devpost.com/software/project-g58r61,FALSE
HackDearborn 2024,NutriCML,https://devpost.com/software/nutricml,FALSE
HackDearborn 2024,EnvoQuest,https://devpost.com/software/envoquest,FALSE
HackDearborn 2024,LiFi,https://devpost.com/software/lifi-4qzb8v,FALSE
HackDearborn 2024,RideWatch,https://devpost.com/software/ridewatch,FALSE
HackDearborn 2024,Drive-I,https://devpost.com/software/drivei,FALSE
HackDearborn 2024,EyePi,https://devpost.com/software/lar,FALSE
HackDearborn 2024,AI assisted Telemedicine KIOSK,https://devpost.com/software/ai-assisted-telemedicine-kiosk,FALSE
HackDearborn 2024,BlurBeGone,https://devpost.com/software/blurbegone,FALSE
HackDearborn 2024,techRamsay,https://devpost.com/software/techramsay,FALSE
HackDearborn 2024,PySurfers,https://devpost.com/software/temple-tilt,FALSE
HackDearborn 2024,FinQuest,https://devpost.com/software/finquest-lj1i9d,FALSE
HackDearborn 2024,Major Match,https://devpost.com/software/major-match,FALSE
HackDearborn 2024,AIdvising,https://devpost.com/software/aidvising,FALSE
HackDearborn 2024,TalkTuahCar,https://devpost.com/software/talktuahcar,FALSE
HackDearborn 2024,NaviGree,https://devpost.com/software/navigree,FALSE
HackDearborn 2024,MementoAI,https://devpost.com/software/mementoai,FALSE
HackDearborn 2024,EcoTrip,https://devpost.com/software/ecotrip-r0daph,FALSE
HackDearborn 2024,EyeSign,https://devpost.com/software/eyesign-v9hg5j,FALSE
HackDearborn 2024,Amazon Co2 Product Calculator Extension,https://devpost.com/software/amazon-co2-product-calculator-extension,FALSE
HackDearborn 2024,Code Kids,https://devpost.com/software/app-986taq,FALSE
HackDearborn 2024,Byte by Byte,https://devpost.com/software/byte-by-btye,FALSE
HackDearborn 2024,Road Report,https://devpost.com/software/road-report,FALSE
HackDearborn 2024,SmartTrader V4,https://devpost.com/software/smarttrader-v4,FALSE
HackDearborn 2024,Hand Gesture Car Racing,https://devpost.com/software/hand-gesture-racing-game,FALSE
HackDearborn 2024,PetPulse,https://devpost.com/software/petpulse,FALSE
HackDearborn 2024,JudgedByAI,https://devpost.com/software/judgedbyai,FALSE
HackDearborn 2024,Mnemosyne,https://devpost.com/software/mnemosyne-wmrq70,FALSE
HackDearborn 2024,Reef Guard,https://devpost.com/software/reef-guard,FALSE
HackDearborn 2024,Ojibwe Dictionary,https://devpost.com/software/anishinaabemo,FALSE
HackDearborn 2024,Snap&Serve,https://devpost.com/software/foodscanner,FALSE
HackHarvard 2024,Sustain-ify,https://devpost.com/software/sustain-ify,TRUE
HackHarvard 2024,Garuda,https://devpost.com/software/garuda-pb7qtf,TRUE
HackHarvard 2024,Diabeteasy,https://devpost.com/software/diabeteasy,TRUE
HackHarvard 2024,Flexy (And I Know It),https://devpost.com/software/flexy-and-i-know-it,TRUE
HackHarvard 2024,U-Plan,https://devpost.com/software/u-plan,TRUE
HackHarvard 2024,OpenLegislation,https://devpost.com/software/openlegislation,TRUE
HackHarvard 2024,TheftWatch,https://devpost.com/software/theft-watch,TRUE
HackHarvard 2024,Invaders,https://devpost.com/software/invaders-uq02re,TRUE
HackHarvard 2024,Open Context,https://devpost.com/software/open-context,TRUE
HackHarvard 2024,citewise,https://devpost.com/software/citewise,TRUE
HackHarvard 2024,Embeddit,https://devpost.com/software/embeddit,TRUE
HackHarvard 2024,Clean Sweep,https://devpost.com/software/cleansweep-tjq36w,TRUE
HackHarvard 2024,FootPrint Mayhem,https://devpost.com/software/footprint-mayhem,TRUE
HackHarvard 2024,TradeREC,https://devpost.com/software/energy-trading,TRUE
HackHarvard 2024,CognitiveKeyboard,https://devpost.com/software/cognitivekeyboard,TRUE
HackHarvard 2024,Althea,https://devpost.com/software/althea,TRUE
HackHarvard 2024,SimplySign,https://devpost.com/software/simplysign,TRUE
HackHarvard 2024,T-Error,https://devpost.com/software/terror,TRUE
HackHarvard 2024,MediGuide,https://devpost.com/software/mediguide-c9qn3t,TRUE
HackHarvard 2024,Harvard Burger,https://devpost.com/software/harvard-burger,TRUE
HackHarvard 2024,ParkPoint（Parking no worries）,https://devpost.com/software/parkpoint,FALSE
HackHarvard 2024,Theraplane,https://devpost.com/software/theraplane,FALSE
HackHarvard 2024,Teleport,https://devpost.com/software/teleport-n79fal,FALSE
HackHarvard 2024,Traffix,https://devpost.com/software/traffix-bqny0s,FALSE
HackHarvard 2024,SkyScale,https://devpost.com/software/sky-scale,FALSE
HackHarvard 2024,AI in Quality Engineering,https://devpost.com/software/ai-in-quality-engineering,FALSE
HackHarvard 2024,WellBite,https://devpost.com/software/wellbite,FALSE
HackHarvard 2024,CiviClick,https://devpost.com/software/civiclick,FALSE
HackHarvard 2024,Local.ly,https://devpost.com/software/local-ly-joc2e1,FALSE
HackHarvard 2024,Priceflix,https://devpost.com/software/priceflix,FALSE
HackHarvard 2024,Autodine,https://devpost.com/software/autodine,FALSE
HackHarvard 2024,#FairSight,https://devpost.com/software/fairsight,FALSE
HackHarvard 2024,Twilight,https://devpost.com/software/twilight-cu8l5s,FALSE
HackHarvard 2024,CareSync,https://devpost.com/software/caresync-b8m7gd,FALSE
HackHarvard 2024,HackrMap,https://devpost.com/software/hackrmap,FALSE
HackHarvard 2024,re$ipe,https://devpost.com/software/re-ipe,FALSE
HackHarvard 2024,SafeSpace,https://devpost.com/software/safespace-z6jsch,FALSE
HackHarvard 2024,EZ-PT,https://devpost.com/software/ez-pt,FALSE
HackHarvard 2024,docGen,https://devpost.com/software/docgen-v25jla,FALSE
HackHarvard 2024,Attenbot,https://devpost.com/software/attenbot,FALSE
HackHarvard 2024,Moodivation,https://devpost.com/software/moodivation,FALSE
HackHarvard 2024,MoleculeIQ,https://devpost.com/software/moleculeiq,FALSE
HackHarvard 2024,Albatross,https://devpost.com/software/albatross,FALSE
HackHarvard 2024,Proximity,https://devpost.com/software/proximity-1bzcke,FALSE
HackHarvard 2024,PrepCheck,https://devpost.com/software/prepcheck,FALSE
HackHarvard 2024,EcoCoin,https://devpost.com/software/ecocoin-2iez17,FALSE
HackHarvard 2024,Parkara,https://devpost.com/software/parkara,FALSE
HackHarvard 2024,Vizzi,https://devpost.com/software/vizzi,FALSE
HackHarvard 2024,Stylete.app,https://devpost.com/software/stylete-app,FALSE
HackHarvard 2024,VitalPath,https://devpost.com/software/vitalpath,FALSE
HackHarvard 2024,MiRTH,https://devpost.com/software/mirth,FALSE
HackHarvard 2024,RareCare,https://devpost.com/software/rarecare,FALSE
HackHarvard 2024,Envest,https://devpost.com/software/envest-otfpqy,FALSE
HackHarvard 2024,Infinite Roads,https://devpost.com/software/infinite-roads,FALSE
HackHarvard 2024,mindshort,https://devpost.com/software/mindshort,FALSE
HackHarvard 2024,Luna Tech,https://devpost.com/software/luna-tech,FALSE
HackHarvard 2024,HackEnzyme,https://devpost.com/software/hackenzyme,FALSE
HackHarvard 2024,Aria,https://devpost.com/software/aria-sc10g2,FALSE
HackHarvard 2024,Query on Reality,https://devpost.com/software/query-on-reality,FALSE
HackHarvard 2024,I CARE 4 DOCTORS,https://devpost.com/software/i-care-4-doctors,FALSE
HackHarvard 2024,DocScribe,https://devpost.com/software/docscribe,FALSE
HackHarvard 2024,BurnGPT,https://devpost.com/software/burngpt,FALSE
HackHarvard 2024,HelpSignal,https://devpost.com/software/helpsignal,FALSE
HackHarvard 2024,Queue-1-1,https://devpost.com/software/queue11,FALSE
HackHarvard 2024,CogniSpeak,https://devpost.com/software/cognispeak,FALSE
HackHarvard 2024,WHEN???,https://devpost.com/software/when-ht7x9p,FALSE
HackHarvard 2024,Doctor Doctor,https://devpost.com/software/doctor-doctor,FALSE
HackHarvard 2024,DecentraHealth,https://devpost.com/software/decentrahealth,FALSE
HackHarvard 2024,Resumify,https://devpost.com/software/resumify-rz0eon,FALSE
HackHarvard 2024,QuickDeets,https://devpost.com/software/quickdeets,FALSE
HackHarvard 2024,MediTrack,https://devpost.com/software/meditrack-o7b3kf,FALSE
HackHarvard 2024,Beacon,https://devpost.com/software/beacon-clh8kw,FALSE
HackHarvard 2024,ReliefToYuah,https://devpost.com/software/relieftoyuah,FALSE
HackHarvard 2024,Sleep Soon,https://devpost.com/software/sleep-soon,FALSE
HackHarvard 2024,BioSync,https://devpost.com/software/biosync,FALSE
HackHarvard 2024,SlideProf,https://devpost.com/software/slideprof,FALSE
HackHarvard 2024,UniRoute,https://devpost.com/software/uniroute,FALSE
HackHarvard 2024,Smart Traffic Light Simulation,https://devpost.com/software/smart-traffic-light-simulation,FALSE
HackHarvard 2024,AIDERS: AI-powered Detection and Emergency Response System,https://devpost.com/software/aiders-ai-powered-detection-and-emergency-response-system,FALSE
HackHarvard 2024,AthenaPrep,https://devpost.com/software/athenaprep,FALSE
HackHarvard 2024,Signify,https://devpost.com/software/signify-ezb6aw,FALSE
HackHarvard 2024,"Vota: One vote, one voice",https://devpost.com/software/vota-one-vote-one-voice,FALSE
HackHarvard 2024,Lucidity,https://devpost.com/software/lucidity-tsnufp,FALSE
HackHarvard 2024,EcoKitty,https://devpost.com/software/ecokitty,FALSE
HackHarvard 2024,Eventure,https://devpost.com/software/eventure-1ey42c,FALSE
HackHarvard 2024,CopayHero GPT,https://devpost.com/software/copay-hero-gpt,FALSE
HackHarvard 2024,EduCare,https://devpost.com/software/educare-9vc6an,FALSE
HackHarvard 2024,PAWPAW - the Privacy Analyzer with Personality and Whimsy,https://devpost.com/software/pawpaw,FALSE
HackHarvard 2024,SafeRoute | Safety Prioritized in Google Maps,https://devpost.com/software/saferoute-safety-prioritized-in-google-maps,FALSE
HackHarvard 2024,DermaDrill,https://devpost.com/software/dermadrill,FALSE
HackHarvard 2024,Just Hurry!,https://devpost.com/software/just-hurry,FALSE
HackHarvard 2024,Realytics,https://devpost.com/software/realytics,FALSE
HackHarvard 2024,Unify,https://devpost.com/software/unify-23bgjx,FALSE
HackHarvard 2024,elo-fi,https://devpost.com/software/elo-fi,FALSE
HackHarvard 2024,ChaosNet,https://devpost.com/software/chaosnet,FALSE
HackHarvard 2024,Call Me Maybe,https://devpost.com/software/call-me-maybe-lxrwaf,FALSE
